"DispNum3" "IncidNum3" "DispNum4" "IncidNum4" "StDay" "StMon" "StYear" "EndDay" "EndMon" "EndYear" "Duration" "TBI" "Fatality" "FatalPre" "Action" "HostLev" "NumA" "RevType1" "RevType2" "Version"
"2013" 4277 4277052 70201 70201052 27 12 2002 27 12 2002 1 2 0 0 16 4 1 1 2 4.01
"2014" 4277 4277053 70201 70201053 29 12 2002 30 12 2002 2 8 -9 -9 17 4 1 1 2 4.01
"2015" 4277 4277054 70201 70201054 6 1 2003 6 1 2003 1 14 -9 9 17 4 1 1 2 4.01
"2016" 4277 4277055 70201 70201055 20 1 2003 11 2 2003 23 7 -9 9 17 4 1 1 2 4.01
"2017" 4277 4277056 70201 70201056 27 1 2003 28 1 2003 2 3 0 0 7 3 1 0 0 4.01
"2018" 4277 4277057 70201 70201057 30 1 2003 30 1 2003 1 6 0 0 7 3 1 0 0 4.01
"2019" 4277 4277058 70201 70201058 5 2 2003 5 2 2003 1 13 0 0 7 3 1 0 0 4.01
"2020" 4277 4277059 70201 70201059 18 2 2003 18 2 2003 1 11 1 -9 17 4 1 1 2 4.01
"2021" 4277 4277060 70201 70201060 1 3 2003 1 3 2003 1 10 -9 9 17 4 1 1 2 4.01
"2022" 4277 4277061 70201 70201061 11 3 2003 29 3 2003 19 24 -9 9 17 4 1 1 2 4.01
"2023" 4277 4277062 70201 70201062 4 4 2003 24 4 2003 21 26 -9 9 17 4 1 1 2 4.01
"2024" 4277 4277063 70201 70201063 30 4 2003 1 5 2003 2 -9 0 0 16 4 1 1 0 4.01
"2025" 4277 4277064 70201 70201064 -9 5 2003 -9 5 2003 -9 -9 0 0 11 3 1 1 2 4.01
"2026" 4277 4277065 70201 70201065 6 5 2003 15 5 2003 10 14 -9 -9 17 4 1 1 2 4.01
"2027" 4277 4277066 70201 70201066 20 5 2003 23 5 2003 4 10 -9 -9 17 4 1 1 2 4.01
"2028" 4277 4277067 70201 70201067 30 5 2003 30 5 2003 1 2 0 0 11 3 1 2 2 4.01
"2029" 4277 4277068 70201 70201068 1 6 2003 8 6 2003 8 16 -9 -9 17 4 1 1 2 4.01
"2030" 4277 4277069 70201 70201069 17 6 2003 17 6 2003 1 11 -9 -9 17 4 1 1 2 4.01
"2031" 4277 4277070 70201 70201070 28 6 2003 5 7 2003 8 14 -9 -9 17 4 1 1 2 4.01
"2032" 4277 4277071 70201 70201071 12 7 2003 18 7 2003 7 12 -9 -9 17 4 1 1 2 4.01
"2033" 4277 4277072 70201 70201072 24 7 2003 4 8 2003 12 18 1 -9 17 4 1 1 2 4.01
